timestamp,state
1747194077.8544872,le_reward
1747194105.3791382,le_tone
1747194117.6829455,he_failed
1747194117.6831908,he_tone
1747194118.2321525,he_reward
1747194127.5773978,le_tone
1747194153.27124,le_reward
1747194163.1068392,he_tone
1747194178.139178,le_failed
1747194178.1393836,he_tone
1747194178.6872091,he_le_lever_press
1747194178.6873245,le_failed
1747194179.3418214,he_the_lever_press
1747194179.341937,he_failed
1747194180.363966,le_to
1747194186.568818,he_failed
1747194186.569014,he_tone
1747194187.1171947,he_reward
1747194239.5157125,le_tone
1747194243.4503746,he_failed
1747194243.45056,le_tone
1747194244.6792386,he_failed
1747194244.6794448,he_tone
1747194245.2200441,he_reward
1747194248.7653642,he_tone
